,words,cluster_value,closeness_score,sentiment_coeff,sentiment
0,slavaukraini,-1,26.910835742470613,-26.910835742470613,negative
1,ukraine,-1,22.07685641547269,-22.07685641547269,negative
2,putin,-1,22.720519548465223,-22.720519548465223,negative
3,ukrainian,1,16.07624430380106,16.07624430380106,positive
4,russia,-1,18.842255357625938,-18.842255357625938,negative
5,russian,1,21.64967401305387,21.64967401305387,positive
6,people,-1,26.432142507991127,-26.432142507991127,negative
7,standwithukraine,-1,23.69415535325636,-23.69415535325636,negative
8,"""",-1,20.00820036387652,-20.00820036387652,negative
9,war,-1,20.610946037468064,-20.610946037468064,negative
10,amp,-1,16.537114347269455,-16.537114347269455,negative
11,world,-1,26.737075292853312,-26.737075292853312,negative
12,support,-1,18.17863251554736,-18.17863251554736,negative
13,go,-1,15.99971368942169,-15.99971368942169,negative
14,thank,-1,21.275977701542047,-21.275977701542047,negative
15,get,-1,17.571360541767078,-17.571360541767078,negative
16,need,-1,16.238989363873934,-16.238989363873934,negative
17,know,1,19.254522270124102,19.254522270124102,positive
18,one,1,16.95827085289682,16.95827085289682,positive
19,see,-1,16.794267300045345,-16.794267300045345,negative
20,think,-1,18.4115618272199,-18.4115618272199,negative
21,help,-1,15.91978204173632,-15.91978204173632,negative
22,fight,-1,18.27881237375021,-18.27881237375021,negative
23,say,1,17.993069918175014,17.993069918175014,positive
24,make,-1,18.98482239947964,-18.98482239947964,negative
25,stop,-1,20.872701370832477,-20.872701370832477,negative
26,please,-1,22.351008207015912,-22.351008207015912,negative
27,news,0,8.276378202691609,0.0,neutral
28,country,-1,16.82933255025403,-16.82933255025403,negative
29,stand,-1,21.24246955026628,-21.24246955026628,negative
30,time,1,21.233907756090844,21.233907756090844,positive
31,like,-1,16.277870330504964,-16.277870330504964,negative
32,kyiv,1,21.29338693571581,21.29338693571581,positive
33,love,-1,29.31417949255314,-29.31417949255314,negative
34,want,1,24.21366061341094,24.21366061341094,positive
35,u,-1,27.63497639979345,-27.63497639979345,negative
36,please_come,0,14.765321254712523,0.0,neutral
37,give,1,21.997754649077063,21.997754649077063,positive
38,ukrainerussiawar,-1,20.6544269800516,-20.6544269800516,negative
39,let,1,19.353815344386724,19.353815344386724,positive
40,hope,1,16.103610680295166,16.103610680295166,positive
41,today,1,22.689804611462844,22.689804611462844,positive
42,good,1,16.05685397425894,16.05685397425894,positive
43,take,1,20.031966110017187,20.031966110017187,positive
44,day,-1,18.57525892937644,-18.57525892937644,negative
45,come,1,15.873728362570676,15.873728362570676,positive
46,thank_speak,0,16.3771919443757,0.0,neutral
47,read_update,0,12.338771227429406,0.0,neutral
48,stopputinnow,-1,28.472038970239197,-28.472038970239197,negative
49,would,1,16.060800723099412,16.060800723099412,positive
50,right,-1,18.89837797047107,-18.89837797047107,negative
51,even,1,16.281565480022994,16.281565480022994,positive
52,nato,-1,20.227319365966405,-20.227319365966405,negative
53,must,1,26.95661408728459,26.95661408728459,positive
54,never,1,18.92573114969653,18.92573114969653,positive
55,hero,-1,17.51582409346299,-17.51582409346299,negative
56,putinwarcriminal,-1,25.379880365946963,-25.379880365946963,negative
57,tv,1,18.758802098678864,18.758802098678864,positive
58,brave,-1,28.84007398731045,-28.84007398731045,negative
59,still,-1,23.59068209181671,-23.59068209181671,negative
60,show,1,18.115065752986627,18.115065752986627,positive
61,fuck,1,15.810819928419798,15.810819928419798,positive
62,istandwithukraine,-1,24.973297580707037,-24.973297580707037,negative
63,man,-1,26.72747680285109,-26.72747680285109,negative
64,many,-1,26.51642228195102,-26.51642228195102,negative
65,send,1,19.25201555208672,19.25201555208672,positive
66,keep,-1,23.345080160088315,-23.345080160088315,negative
67,watch,-1,17.75403178825666,-17.75403178825666,negative
68,standingwithukraine,-1,20.28828456858933,-20.28828456858933,negative
69,stay_safe,-1,28.97582006102398,-28.97582006102398,negative
70,well,-1,20.056598359081928,-20.056598359081928,negative
71,may,1,17.23425481975697,17.23425481975697,positive
72,friend,-1,21.875940680055404,-21.875940680055404,negative
73,use,1,16.685460250552307,16.685460250552307,positive
74,way,1,21.182546865723182,21.182546865723182,positive
75,look,-1,28.42284698464284,-28.42284698464284,negative
76,peace,-1,22.46092171410558,-22.46092171410558,negative
77,pray,-1,16.031605983886404,-16.031605983886404,negative
78,could,-1,17.70787022002799,-17.70787022002799,negative
79,stay_strong,-1,29.49064321207181,-29.49064321207181,negative
80,start,1,26.16262658550532,26.16262658550532,positive
81,also,1,28.839241419972083,28.839241419972083,positive
82,th,1,18.805984229713843,18.805984229713843,positive
83,president,1,18.54614044297893,18.54614044297893,positive
84,kharkiv,-1,17.84659333613059,-17.84659333613059,negative
85,glorytoukraine,-1,16.48068955196747,-16.48068955196747,negative
86,unity,0,12.134170453383954,0.0,neutral
87,force,1,20.167644463557703,20.167644463557703,positive
88,live,-1,19.59586177034846,-19.59586177034846,negative
89,really,-1,21.655085262189413,-21.655085262189413,negative
90,soldier,-1,19.628533088640623,-19.628533088640623,negative
91,call,-1,16.918385004151276,-16.918385004151276,negative
92,city,-1,17.869154893595677,-17.869154893595677,negative
93,great,1,20.021766087900502,20.021766087900502,positive
94,back,-1,21.64754741247097,-21.64754741247097,negative
95,work,1,16.23893142834057,16.23893142834057,positive
96,stopputin,-1,27.07025165962076,-27.07025165962076,negative
97,guy,1,19.73644341995105,19.73644341995105,positive
98,life,1,20.143294092711525,20.143294092711525,positive
99,eu,1,16.54101998631743,16.54101998631743,positive
100,try,-1,19.702107401344435,-19.702107401344435,negative
101,much,-1,16.713082671959587,-16.713082671959587,negative
102,child,-1,15.794300702150805,-15.794300702150805,negative
103,johnsonout_bring,0,16.31080913329992,0.0,neutral
104,read,-1,27.077662843116237,-27.077662843116237,negative
105,government_national,0,7.482269042433887,0.0,neutral
106,beautiful,1,17.368780355440276,17.368780355440276,positive
107,freedom,-1,24.37538676595058,-24.37538676595058,negative
108,video,1,21.769588533808367,21.769588533808367,positive
109,tell,-1,18.779548411220038,-18.779548411220038,negative
110,kill,1,26.829213074704715,26.829213074704715,positive
111,civilian,1,16.21604110392306,16.21604110392306,positive
112,uk,-1,17.864482121662313,-17.864482121662313,negative
113,thing,1,18.756195424264828,18.756195424264828,positive
114,scherba,-1,25.373294987627258,-25.373294987627258,negative
115,bomb,-1,16.18095965903948,-16.18095965903948,negative
116,win,-1,19.308792912430867,-19.308792912430867,negative
117,russian_soldier,1,20.22827348719881,20.22827348719881,positive
118,happen,-1,17.916408127111765,-17.916408127111765,negative
119,zelensky,1,16.686666607524344,16.686666607524344,positive
120,every,-1,27.57359609779111,-27.57359609779111,negative
121,stop_war,0,10.94228055008364,0.0,neutral
122,end,-1,19.682874192848413,-19.682874192848413,negative
123,attack,-1,15.820497995410252,-15.820497995410252,negative
124,always,-1,20.432362694420952,-20.432362694420952,negative
125,stoprussia,-1,21.604795775432056,-21.604795775432056,negative
126,invasion,1,23.16648419686239,23.16648419686239,positive
127,family,-1,23.76909259986283,-23.76909259986283,negative
128,leader,-1,23.726149650680934,-23.726149650680934,negative
129,yes,-1,19.280613523342865,-19.280613523342865,negative
130,destroy,-1,19.6688760115986,-19.6688760115986,negative
131,tonight,1,21.49379806349189,21.49379806349189,positive
132,sanction,-1,26.57174242977525,-26.57174242977525,negative
133,ukrainerussianwar,1,18.11044116454974,18.11044116454974,positive
134,word,-1,19.86877681112973,-19.86877681112973,negative
135,new,1,25.931402813646116,25.931402813646116,positive
136,proud,-1,26.742652539938604,-26.742652539938604,negative
137,hear,-1,21.48466018443356,-21.48466018443356,negative
138,leave,-1,16.166616777220913,-16.166616777220913,negative
139,lose,-1,21.57172147622469,-21.57172147622469,negative
140,amaze,1,19.67179176000735,19.67179176000735,positive
141,everyone,1,25.77832516792708,25.77832516792708,positive
142,via,1,15.613859474571592,15.613859474571592,positive
143,true,-1,16.6452738851825,-16.6452738851825,negative
144,europe,-1,21.30892947939922,-21.30892947939922,negative
145,stopwarinukraine,-1,28.80712120704423,-28.80712120704423,negative
146,already,-1,15.810873520453022,-15.810873520453022,negative
147,stoprussia_stopputin,0,10.114094473265991,0.0,neutral
148,continue,-1,18.873262666993515,-18.873262666993515,negative
149,government,1,26.84412302038431,26.84412302038431,positive
150,best,1,19.40329726183488,19.40329726183488,positive
151,another,-1,18.69424401860801,-18.69424401860801,negative
152,talk,1,21.04020873619844,21.04020873619844,positive
153,ukraine_relevant,0,13.938215101287856,0.0,neutral
154,free,1,18.44716989222006,18.44716989222006,positive
155,heart,-1,20.072114965681404,-20.072114965681404,negative
156,conscience_germany,0,8.647857673783694,0.0,neutral
157,report,1,24.9483356958184,24.9483356958184,positive
158,break,-1,18.90811472421692,-18.90811472421692,negative
159,army,-1,24.0674600170411,-24.0674600170411,negative
160,slavaukra_ni,-1,19.280698523614102,-19.280698523614102,negative
161,zelenskyy,-1,23.13990231179486,-23.13990231179486,negative
162,donate,1,26.623620940084752,26.623620940084752,positive
163,follow,-1,26.84022188693949,-26.84022188693949,negative
164,find,1,19.772967983999067,19.772967983999067,positive
165,mean,-1,26.772313068780143,-26.772313068780143,negative
166,put,1,27.232454072295443,27.232454072295443,positive
167,woman,-1,19.550795954106263,-19.550795954106263,negative
168,hello_dear,0,13.12131817154595,0.0,neutral
169,ask,1,20.96664945709154,20.96664945709154,positive
170,tweet,1,19.85297444057673,19.85297444057673,positive
171,safe,-1,28.56908223209904,-28.56908223209904,negative
172,look_like,1,26.73971107623105,26.73971107623105,positive
173,better,-1,17.69575954257366,-17.69575954257366,negative
174,together,-1,25.70387742273785,-25.70387742273785,negative
175,god,-1,18.677112902517425,-18.677112902517425,negative
176,save,1,26.49549435555032,26.49549435555032,positive
177,believe,-1,23.75210284287085,-23.75210284287085,negative
178,something,-1,23.27566748018396,-23.27566748018396,negative
179,ukriane,1,22.10252063616951,22.10252063616951,positive
180,blog_kiev,0,14.553534158385304,0.0,neutral
181,first,1,27.295342536880288,27.295342536880288,positive
182,remember,1,20.123088824444935,20.123088824444935,positive
183,strong,-1,19.144011414273805,-19.144011414273805,negative
184,feel,-1,28.45894557660926,-28.45894557660926,negative
185,military,1,20.588201175695204,20.588201175695204,positive
186,westandwithukraine,-1,20.440068847288607,-20.440068847288607,negative
187,nation,1,16.446127119213585,16.446127119213585,positive
188,god_bless,1,21.152147025275603,21.152147025275603,positive
189,two,1,23.657763766050763,23.657763766050763,positive
190,speak,-1,26.439922904217013,-26.439922904217013,negative
191,citizen,-1,24.393824795753872,-24.393824795753872,negative
192,putinisawarcriminal,-1,20.606151820927057,-20.606151820927057,negative
193,home,1,16.420544888365843,16.420544888365843,positive
194,nftcommunity,0,13.138164783717205,0.0,neutral
195,long,-1,16.423333829255885,-16.423333829255885,negative
196,kid,1,25.199420665978234,25.199420665978234,positive
197,seem,1,20.815138336888637,20.815138336888637,positive
198,do,1,20.13528024946229,20.13528024946229,positive
199,putinswar,-1,23.74463634455074,-23.74463634455074,negative
