,username,hashtags,clean_tweet,day,month,sentiment_val,sentiment
0,voidbourn,,take guo russia usa permanent seat unite nation security council nothing repeat nothing say negate downplay fact sacrifice permanent none people come back nation primarily help,23,4,1,positive
1,applekappa1337,,thomas friedman suck article simp authoritarianism basically say despite issue american democracy china russia fail provide alternative due incompetence whether ukraine shanghai covid,23,4,1,positive
2,mbw955,,downplay nazi russian aggression greater russia denazification also tweet country like u settler country like australia canada issue genocide discus usual ignore,23,4,1,positive
3,shodanette,,chosokaba minosh trade agreement equal hence uk russia conflict agreement gas electric equate imperialism simple modern economics,23,4,1,positive
4,chilberg11,,"russia stop transnistria putin claim moldova ukraine baltic nation always part "" greater russia want moldova moldova military strength alliance fend invasion easy grab",23,4,1,positive
5,brahmasmiaham,,geopolitical pilgrimage global leader india continue one return stronger relation trade india understand india mean india position russia well know change pm boris johnson,23,4,1,positive
6,radioshiga,,mold via est preocupada com amea da ssia de tomar sul da ucr nia,23,4,-1,negative
7,eddie_snail,,russia attack ukraine unopposed neighbour country go see trend belligerent state carry copy cat attack weaker state sadly pakistani aggression prime example thing come world danger eat,23,4,1,positive
8,easternherald,ukraine    russia    economy,arab world view ukraine war russia economy,23,4,1,positive
9,ukrainianwar24,ukraine    russia,canadian ministry defense hand ukrainian force howitzer ammunition ukraine russia,23,4,1,positive
10,ca_ashutoshsoni,,historian turn international relation expert romila thapar give gyan mea russia,23,4,1,positive
11,dashammer50,,putin want show antisemitic eye world invade ukraine use tactic jew russia support year especially jew consider victim hitler,23,4,1,positive
12,jimleojackson,,"russia need sotzenitsyn debunk old propaganda get stalin putin always world long past "" fool """,23,4,1,positive
13,pirpiraan,,hard part come ultimately fail russia picture look like entire world go need remain strong face reckon really good future look like pass,23,4,1,positive
14,nuthinbutdtruth,,anna end day say think ukraine compromise aggressor invade country kill people time compromise invasion russia afford luxury,23,4,1,positive
15,dmac6njdan,,jack war clearly shoulder putin tyrant however cannot tell zelenski lie citizen say russia go invade even exact day invasion lie period,23,4,1,positive
16,ebrimaj12089602,,everything consume world produce russia,23,4,1,positive
